Date,Open,High,Low,Close,Volume,Adj Close
2015-12-15,107.50,113.00,104.260002,109.589996,24008100,109.589996
2015-12-14,93.940002,95.50,92.559998,94.139999,5365700,94.139999
2015-12-11,95.75,98.849998,92.199997,93.059998,8158500,93.059998
2015-12-10,93.540001,97.449997,93.260002,97.190002,5115000,97.190002
2015-12-09,93.220001,96.860001,91.809998,94.400002,6243600,94.400002
2015-12-08,89.50,95.260002,89.040001,93.860001,7320100,93.860001
2015-12-07,94.080002,95.050003,91.150002,92.239998,4850700,92.239998
2015-12-04,93.989998,96.75,93.370003,95.309998,8650500,95.309998
2015-12-03,97.709999,98.00,92.010002,93.660004,9433800,93.660004
2015-12-02,99.050003,101.93,95.50,96.230003,13042600,96.230003
2015-12-01,90.849998,99.790001,90.519997,98.779999,22851100,98.779999
2015-11-30,87.279999,91.209999,86.07,89.959999,13992300,89.959999
2015-11-27,87.300003,89.150002,86.190002,87.089996,4218700,87.089996
2015-11-25,83.889999,90.50,83.019997,87.019997,13068200,87.019997
2015-11-24,87.400002,89.07,85.199997,87.449997,16530100,87.449997
2015-11-23,92.099998,97.639999,87.110001,87.410004,25583200,87.410004
2015-11-20,84.75,91.279999,83.559998,91.00,24969500,91.00
2015-11-19,72.419998,84.480003,72.379997,84.00,25422700,84.00
2015-11-18,69.75,75.260002,69.330002,72.599998,11844400,72.599998
2015-11-17,72.220001,74.00,69.949997,70.32,13442800,70.32
2015-11-16,74.489998,75.690002,72.25,73.32,10267200,73.32
2015-11-13,74.540001,76.300003,72.089996,75.410004,14632000,75.410004
2015-11-12,76.809998,77.00,73.690002,73.769997,17453100,73.769997
2015-11-11,84.620003,86.110001,78.599998,78.900002,16933800,78.900002
2015-11-10,84.760002,86.400002,79.010002,83.68,28711700,83.68
2015-11-09,83.099998,86.00,80.620003,85.410004,19976500,85.410004
2015-11-06,81.800003,85.589996,77.510002,81.769997,25270900,81.769997
2015-11-05,92.00,92.129997,73.32,78.769997,57293500,78.769997
2015-11-04,98.75,99.50,91.260002,91.980003,14566100,91.980003
2015-11-03,103.040001,104.800003,96.50,97.860001,15507300,97.860001
2015-11-02,97.160004,102.889999,94.50,100.470001,26455500,100.470001
2015-10-30,103.300003,108.790001,90.459999,93.769997,44882500,93.769997
2015-10-29,116.760002,127.080002,104.00,111.50,18818900,111.50
2015-10-28,109.400002,118.00,108.199997,117.00,10701600,117.00
2015-10-27,112.489998,114.199997,108.739998,109.540001,10871800,109.540001
2015-10-26,110.00,118.00,106.029999,110.040001,27810100,110.040001
2015-10-23,117.059998,121.690002,111.639999,116.160004,24749300,116.160004
2015-10-22,110.010002,115.50,94.260002,109.870003,57766100,109.870003
2015-10-21,148.009995,148.660004,88.50,118.610001,88254200,118.610001
2015-10-20,159.020004,162.899994,145.350006,146.740005,16210100,146.740005
2015-10-19,169.800003,171.50,159.240005,163.830002,9997900,163.830002
2015-10-16,172.110001,179.830002,170.850006,177.559998,6025200,177.559998
2015-10-15,156.729996,170.00,155.229996,168.869995,10683900,168.869995
2015-10-14,171.529999,178.479996,171.279999,177.289993,8142300,177.289993
2015-10-13,173.809998,177.00,166.190002,166.50,3880600,166.50
2015-10-12,175.940002,179.490005,171.220001,173.850006,3255800,173.850006
2015-10-09,170.550003,179.809998,168.550003,175.940002,4358000,175.940002
2015-10-08,169.419998,171.690002,165.130005,171.169998,3644600,171.169998
2015-10-07,166.520004,171.490005,163.389999,169.830002,4181600,169.830002
2015-10-06,161.110001,169.119995,157.020004,166.00,7376100,166.00
2015-10-05,176.809998,176.990005,161.169998,163.460007,11648200,163.460007
2015-10-02,170.229996,182.639999,164.270004,182.320007,7697300,182.320007
2015-10-01,177.089996,180.00,171.710007,179.600006,6384100,179.600006
2015-09-30,168.470001,180.050003,160.509995,178.380005,11676100,178.380005
2015-09-29,160.940002,175.949997,152.940002,158.080002,14511900,158.080002
2015-09-28,196.729996,206.509995,159.440002,166.50,19751900,166.50
2015-09-25,212.139999,214.720001,189.00,199.470001,6279000,199.470001
2015-09-24,216.419998,217.070007,205.380005,209.50,4169300,209.50
2015-09-23,219.199997,225.539993,216.100006,217.210007,1958200,217.210007
2015-09-22,222.910004,223.949997,214.00,216.759995,4612600,216.759995
2015-09-21,243.399994,245.820007,220.860001,229.00,4972000,229.00
2015-09-18,237.190002,242.649994,237.190002,242.139999,1754400,242.139999
2015-09-17,232.789993,243.240005,231.50,241.009995,1795700,241.009995
2015-09-16,228.00,234.50,227.610001,233.210007,1405500,233.210007
2015-09-15,223.910004,229.080002,222.029999,228.220001,1465300,228.220001
2015-09-14,226.339996,227.679993,220.419998,222.919998,1603300,222.919998
2015-09-11,227.919998,228.720001,223.910004,225.639999,1609900,225.639999
2015-09-10,227.830002,230.720001,226.550003,228.789993,1781600,228.789993
2015-09-09,235.490005,235.660004,227.339996,227.850006,1253000,227.850006
2015-09-08,236.380005,237.910004,228.559998,233.800003,1925300,233.800003
2015-09-04,225.100006,230.520004,224.580002,229.529999,1228200,229.529999
2015-09-03,233.369995,235.360001,226.570007,228.470001,1485500,228.470001
2015-09-02,225.729996,232.25,222.429993,232.179993,1806000,232.179993
2015-09-01,227.690002,229.210007,222.339996,224.050003,2059400,224.050003
2015-08-31,234.660004,237.800003,228.589996,230.600006,1511400,230.600006
2015-08-28,232.729996,236.360001,232.039993,236.119995,982000,236.119995
2015-08-27,228.589996,236.020004,228.399994,234.899994,1816700,234.899994
2015-08-26,226.020004,228.509995,217.770004,227.240005,2156200,227.240005
2015-08-25,230.220001,231.669998,218.960007,220.080002,2595800,220.080002
2015-08-24,207.990005,220.25,200.020004,220.25,4582200,220.25
2015-08-21,224.080002,228.279999,219.669998,222.190002,3923900,222.190002
2015-08-20,244.949997,244.949997,228.130005,229.059998,3305500,229.059998
2015-08-19,247.940002,249.529999,242.509995,244.910004,1262100,244.910004
2015-08-18,250.00,252.509995,247.25,249.970001,873700,249.970001
2015-08-17,244.440002,251.00,244.190002,249.75,954500,249.75
2015-08-14,246.809998,250.369995,244.020004,246.570007,950000,246.570007
2015-08-13,243.059998,248.279999,243.059998,246.169998,1415100,246.169998
2015-08-12,244.669998,245.669998,234.210007,244.029999,3042600,244.029999
2015-08-11,244.889999,247.75,241.309998,245.990005,1213000,245.990005
2015-08-10,250.130005,253.619995,247.039993,247.149994,1278100,247.149994
2015-08-07,247.729996,248.100006,240.899994,247.789993,2158400,247.789993
2015-08-06,263.679993,263.809998,245.279999,248.399994,3551300,248.399994
2015-08-05,261.230011,263.790009,260.049988,262.519989,1242200,262.519989
2015-08-04,255.610001,260.470001,250.910004,259.980011,1152400,259.980011
2015-08-03,258.00,260.790009,256.00,257.209991,1771800,257.209991
2015-07-31,255.300003,258.959991,253.350006,257.529999,1313700,257.529999
2015-07-30,254.210007,255.039993,250.25,254.279999,1479600,254.279999
2015-07-29,259.130005,259.880005,252.820007,255.229996,2064700,255.229996
